6.645800	6.645800	
7.209285	7.209285	
7.822488	7.822488	
7.834918	7.834918	
10.923724	10.923724	
11.462348	11.462348	
12.015474	12.015474	
12.052764	12.052764	
15.176787	15.176787	
15.736128	15.736128	
15.997154	15.997154	
16.287183	16.287183	
16.332759	16.332759	
19.241332	19.241332	
19.730238	19.730238	
20.061699	20.061699	
20.111418	20.111418	
25.824984	25.824984	
26.384325	26.384325	
26.910520	26.910520	
30.200274	30.200274	
30.740970	30.740970	
31.294096	31.294096	
34.587993	34.587993	
35.149406	35.149406	
35.402145	35.402145	
35.679744	35.679744	
38.669111	38.669111	
39.234667	39.234667	
39.489478	39.489478	
